id,released,movie,genere,rating
1,1970,Mystic Whirlwind,Action,2
2,1989,Thunder Strike,Sci-Fi,3
3,1912,Shadow Dance,Drama,1
4,2011,Thunder Strike,Fantasy,5
5,2013,Mystic Whirlwind,Romance,1
6,1999,Shadow Dance,Action,1
7,1919,Frostbite Slash,Horror,4
8,1980,Thunder Strike,Drama,2
9,1946,Mystic Whirlwind,Romance,5
10,1965,Thunder Strike,Romance,5
11,1943,Thunder Strike,Adventure,5
12,1943,Blazing Fury,Drama,5
13,1977,Mystic Whirlwind,Drama,4
14,1977,Mystic Whirlwind,Drama,2
15,1960,Frostbite Slash,Fantasy,1
16,1959,Frostbite Slash,Drama,4
17,2018,Thunder Strike,Drama,1
18,1906,Thunder Strike,Romance,5
19,1920,Mystic Whirlwind,Sci-Fi,4
20,1956,Shadow Dance,Animation,5
21,1971,Thunder Strike,Fantasy,1
22,1939,Shadow Dance,Animation,1
23,2014,Mystic Whirlwind,Horror,3
24,2001,Frostbite Slash,Fantasy,5
25,2022,Frostbite Slash,Action,4
26,1925,Mystic Whirlwind,Animation,1
27,1999,Frostbite Slash,Fantasy,1
28,1991,Blazing Fury,Fantasy,4
29,1996,Frostbite Slash,Action,5
30,1990,Mystic Whirlwind,Sci-Fi,2
31,1987,Blazing Fury,Thriller,1
32,1952,Thunder Strike,Comedy,3
33,1928,Frostbite Slash,Comedy,4
34,1948,Frostbite Slash,Romance,5
35,2002,Shadow Dance,Horror,4
36,1967,Mystic Whirlwind,Romance,2
37,1978,Shadow Dance,Animation,1
38,1988,Shadow Dance,Thriller,3
39,1987,Thunder Strike,Adventure,1
40,1913,Blazing Fury,Drama,2
41,1918,Thunder Strike,Comedy,4
42,1947,Thunder Strike,Action,3
43,1982,Frostbite Slash,Action,3
44,2008,Blazing Fury,Romance,4
45,1935,Mystic Whirlwind,Horror,5
46,1910,Thunder Strike,Horror,4
47,1950,Frostbite Slash,Adventure,4
48,1927,Shadow Dance,Action,4
49,2009,Mystic Whirlwind,Horror,4
50,1911,Thunder Strike,Action,3
51,1901,Blazing Fury,Action,4
52,1987,Frostbite Slash,Thriller,1
53,1957,Blazing Fury,Animation,1
54,1954,Frostbite Slash,Action,4
55,1999,Frostbite Slash,Animation,5
56,2003,Shadow Dance,Fantasy,4
57,1927,Frostbite Slash,Drama,4
58,1962,Shadow Dance,Drama,5
59,1991,Blazing Fury,Romance,4
60,1906,Frostbite Slash,Fantasy,2
61,2000,Blazing Fury,Thriller,3
62,1945,Frostbite Slash,Thriller,4
63,1997,Blazing Fury,Fantasy,4
64,1932,Thunder Strike,Animation,5
65,1963,Shadow Dance,Fantasy,5
66,2020,Shadow Dance,Sci-Fi,2
67,1949,Thunder Strike,Animation,5
68,1981,Blazing Fury,Animation,1
69,1980,Thunder Strike,Comedy,5
70,1984,Shadow Dance,Comedy,3
71,1994,Mystic Whirlwind,Romance,5
