city,min_temp,max_tmp,humidity
Faridabad,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.43
Faridabad,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',77.68
Noida,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',23.6
New Delhi,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.94
Gurgaon,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',36.28
Gurgaon,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',31.81
Faridabad,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.14
New Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.42
New Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.21
Delhi,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',56.62
New Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.69
Faridabad,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',34.48
Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.44
Gurgaon,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.9
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',75.72
Faridabad,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',52.72
Gurgaon,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.74
Noida,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.43
New Delhi,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',76.05
New Delhi,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',20.03
Gurgaon,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.98
Noida,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.64
Faridabad,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',21.5
Noida,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',60.17
Gurgaon,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',20.98
New Delhi,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.61
Delhi,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.5
Noida,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',20.67
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.77
Faridabad,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',58.97
Gurgaon,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.02
New Delhi,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.65
Faridabad,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.19
New Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',27.6
Noida,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',84.62
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',54.34
